id,sleepday,totalhoursasleep,totalhoursinbed
1503960366,"2016-04-12 00:00:00",5.45,5.77
1503960366,"2016-04-13 00:00:00",6.4,6.78
1503960366,"2016-04-15 00:00:00",6.87,7.37
1503960366,"2016-04-16 00:00:00",5.67,6.12
1503960366,"2016-04-17 00:00:00",11.67,11.87
1503960366,"2016-04-19 00:00:00",5.07,5.33
1503960366,"2016-04-20 00:00:00",6,6.28
1503960366,"2016-04-21 00:00:00",5.42,6.07
1503960366,"2016-04-23 00:00:00",6.02,6.4
1503960366,"2016-04-24 00:00:00",7.17,7.48
1503960366,"2016-04-25 00:00:00",4.62,5.38
1503960366,"2016-04-26 00:00:00",4.08,4.57
1503960366,"2016-04-28 00:00:00",6.1,6.55
1503960366,"2016-04-29 00:00:00",5.68,5.9
1503960366,"2016-04-30 00:00:00",6.73,7.08
1503960366,"2016-05-01 00:00:00",6.15,6.6
1503960366,"2016-05-02 00:00:00",4.62,5.15
1503960366,"2016-05-03 00:00:00",4.55,4.93
1503960366,"2016-05-05 00:00:00",4.12,4.4
1503960366,"2016-05-06 00:00:00",5.57,6.12
1503960366,"2016-05-07 00:00:00",5.52,5.82
1503960366,"2016-05-08 00:00:00",9.9,10.18
1503960366,"2016-05-09 00:00:00",5.63,5.7
1503960366,"2016-05-10 00:00:00",6.38,6.72
1503960366,"2016-05-11 00:00:00",4.75,5.1
2026352035,"2016-04-12 00:00:00",8.38,9.1
2026352035,"2016-04-13 00:00:00",8.85,9.42
2026352035,"2016-04-14 00:00:00",9.08,9.47
2026352035,"2016-04-15 00:00:00",8.72,9.55
2026352035,"2016-04-16 00:00:00",8.73,9.45
2026352035,"2016-04-17 00:00:00",7.28,8.3
2026352035,"2016-04-19 00:00:00",8.3,9
2026352035,"2016-04-20 00:00:00",7.68,8.5
2026352035,"2016-04-21 00:00:00",7.95,8.57
2026352035,"2016-04-22 00:00:00",8.67,9.08
2026352035,"2016-04-23 00:00:00",8.7,9.23
2026352035,"2016-04-24 00:00:00",9.25,9.85
2026352035,"2016-04-25 00:00:00",8.43,8.85
2026352035,"2016-04-27 00:00:00",8.47,9.08
2026352035,"2016-04-28 00:00:00",8.55,9.08
2026352035,"2016-04-29 00:00:00",8.17,8.5
2026352035,"2016-04-30 00:00:00",9.55,10.12
2026352035,"2016-05-01 00:00:00",8.78,9.1
2026352035,"2016-05-02 00:00:00",8.52,9.05
2026352035,"2016-05-04 00:00:00",8.97,9.33
2026352035,"2016-05-05 00:00:00",7.8,8.08
2026352035,"2016-05-06 00:00:00",8.73,9.13
2026352035,"2016-05-07 00:00:00",8.52,8.68
2026352035,"2016-05-08 00:00:00",9.02,9.47
2026352035,"2016-05-09 00:00:00",8.85,9.27
2026352035,"2016-05-10 00:00:00",5.95,6.33
2026352035,"2016-05-11 00:00:00",8.72,9.22
2026352035,"2016-05-12 00:00:00",7.6,8.08
3977333714,"2016-04-12 00:00:00",4.57,7.82
3977333714,"2016-04-13 00:00:00",4.92,7.6
3977333714,"2016-04-14 00:00:00",4.85,6.62
3977333714,"2016-04-15 00:00:00",7.07,9.27
3977333714,"2016-04-16 00:00:00",4.72,8.5
3977333714,"2016-04-17 00:00:00",6.35,9.43
3977333714,"2016-04-18 00:00:00",6.87,8.7
3977333714,"2016-04-19 00:00:00",3.65,6.58
3977333714,"2016-04-20 00:00:00",2.53,5.08
3977333714,"2016-04-21 00:00:00",5.53,8.53
3977333714,"2016-04-22 00:00:00",5.92,7.93
3977333714,"2016-04-23 00:00:00",3.92,6.2
3977333714,"2016-04-24 00:00:00",5.17,8.77
3977333714,"2016-04-25 00:00:00",4.37,7.78
3977333714,"2016-04-26 00:00:00",4.17,6.18
3977333714,"2016-04-27 00:00:00",5.82,9
3977333714,"2016-04-28 00:00:00",4.35,7.05
3977333714,"2016-04-29 00:00:00",5.55,7.97
3977333714,"2016-04-30 00:00:00",3.95,6.37
3977333714,"2016-05-01 00:00:00",6.38,10.43
3977333714,"2016-05-02 00:00:00",3.83,6.4
3977333714,"2016-05-03 00:00:00",4.87,8.33
3977333714,"2016-05-04 00:00:00",3.55,5.6
3977333714,"2016-05-05 00:00:00",5.3,8
3977333714,"2016-05-06 00:00:00",5.38,8.53
3977333714,"2016-05-07 00:00:00",3.95,7.38
3977333714,"2016-05-08 00:00:00",4.32,7.6
3977333714,"2016-05-10 00:00:00",5.2,7.53
4319703577,"2016-04-14 00:00:00",8.92,9.28
4319703577,"2016-04-15 00:00:00",7.75,8.18
4319703577,"2016-04-16 00:00:00",8.43,8.7
4319703577,"2016-04-18 00:00:00",8.58,9.18
4319703577,"2016-04-19 00:00:00",7.68,8.3
4319703577,"2016-04-20 00:00:00",8.72,9.05
4319703577,"2016-04-21 00:00:00",0.98,1.08
4319703577,"2016-04-22 00:00:00",8.88,9.17
4319703577,"2016-04-23 00:00:00",11.53,12.03
4319703577,"2016-04-24 00:00:00",7.78,8.35
4319703577,"2016-04-25 00:00:00",8.13,8.43
4319703577,"2016-04-26 00:00:00",8.42,8.6
4319703577,"2016-04-27 00:00:00",4.77,5.12
4319703577,"2016-04-28 00:00:00",8.28,8.7
4319703577,"2016-04-29 00:00:00",8.72,9.1
4319703577,"2016-04-30 00:00:00",8.17,8.6
4319703577,"2016-05-01 00:00:00",8.07,8.33
4319703577,"2016-05-02 00:00:00",7.97,8.43
4319703577,"2016-05-03 00:00:00",7.9,8.53
4319703577,"2016-05-06 00:00:00",7.5,8.18
4319703577,"2016-05-07 00:00:00",8.45,8.83
4319703577,"2016-05-08 00:00:00",10.03,10.63
4319703577,"2016-05-09 00:00:00",8.92,9.42
4319703577,"2016-05-10 00:00:00",8.12,8.62
